country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,1,0,0,27.78
Albania,2,0,0,8.33
Algeria,2,0,0,5.56
Andorra,4,0,0,0
Angola,2,0,0,8.33
Antigua and Barbuda,4,0,0,0
Argentina,2,0,5.2,11.11
Armenia,4,0,0,0
Australia,1,0,0,19.44
Austria,2,0.034,38,11.11
Azerbaijan,1,0,0,30.56
Bahamas,4,0,0,0
Bahrain,1,0,0,30.56
Bangladesh,1,0,0,13.89
Barbados,1,0,0,16.67
Belarus,4,0,0,0
Belgium,1,0.041,0,13.89
Belize,2,0,0,11.11
Benin,1,0,0,13.89
Bhutan,1,0,0,31.48
Bolivia,5,0,0,62.04
Bosnia and Herzegovina,2,0,0,11.11
Botswana,1,0,0,13.89
Brazil,2,0,0,11.11
Brunei,1,0,0,19.44
Bulgaria,1,0,0,21.3
Burkina Faso,4,0,0,0
Burundi,2,0,0,11.11
Cambodia,1,0,0,19.44
Cameroon,4,0,0,0
Canada,4,0,0,2.78
Cape Verde,1,0,0,19.44
Central African Republic,4,0,0,0
Chad,2,0,0,11.11
Chile,4,0,0,0
China,5,0,0,81.02
Colombia,2,0.001,0,12.04
Comoros,4,0,0,0
Congo,2,0,0,5.56
Costa Rica,2,0,0,11.11
Cote d'Ivoire,4,0,0,0
Croatia,1,0.004,0,13.89
Cuba,1,0,0,13.89
Cyprus,2,0,0,11.11
Czechia,1,0.018,31,19.44
Democratic Republic of Congo,2,0,0,5.56
Denmark,1,0.019,29.7,25.93
Djibouti,4,0,0,0
Dominica,4,0,0,0
Dominican Republic,2,0,0,11.11
Ecuador,2,0,0,8.33
Egypt,4,0,0,0
El Salvador,1,0,0,19.44
Equatorial Guinea,4,0,0,0
Eritrea,4,0,0,0
Estonia,4,0.022,26.4,0
Eswatini,1,0,0,13.89
Ethiopia,4,0,0,2.78
Fiji,1,0,0,19.44
Finland,1,0.004,32.1,19.44
France,5,0,0,43.98
Gabon,1,0,0,13.89
Gambia,2,0,0,11.11
Georgia,5,0,0,41.67
Germany,1,0,0,25
Ghana,4,0,0,2.78
Greece,1,0,0,28.7
Grenada,4,0,0,0
Guatemala,1,0,0,25
Guinea,1,0,0,13.89
Guinea-Bissau,4,0,0,0
Guyana,1,0,0,13.89
Haiti,2,0,0,8.33
Honduras,2,0,0,11.11
Hungary,2,0.005,0,11.11
Iceland,1,0.17,7.6,16.67
India,1,0,0,26.85
Indonesia,5,0,0,37.04
International,4,0,0,0
Iran,5,0,0,42.59
Iraq,5,0,0,52.78
Ireland,2,0,0,11.11
Israel,1,0.039,36.7,33.33
Italy,5,0.094,4.9,74.54
Jamaica,1,0,0,19.44
Japan,5,0.001,25.6,43.52
Jordan,2,0,0,11.11
Kazakhstan,2,0,0,8.33
Kenya,1,0,0,13.89
Kosovo,4,0,0,0
Kuwait,5,0,0,36.11
Kyrgyzstan,1,0,0,22.22
Laos,4,0,0,0
Latvia,3,0.007,202.8,8.33
Lebanon,5,0,0,37.96
Lesotho,2,0,0,11.11
Liberia,2,0,0,5.56
Libya,2,0,0,5.56
Liechtenstein,4,0,0,0
Lithuania,2,0,0,11.11
Luxembourg,2,0.01,21,11.11
Madagascar,4,0,0,0
Malawi,2,0,0,11.11
Malaysia,1,0,11.6,22.22
Maldives,4,0,0,0
Mali,4,0,0,0
Malta,3,0.222,88.6,0
Marshall Islands,4,0,0,0
Mauritania,2,0,0,5.56
Mauritius,4,0,0,0
Mexico,0,0.001,688.8,2.78
Moldova,2,0,0,8.33
Monaco,1,0,0,27.78
Mongolia,5,0,0,57.41
Montenegro,4,0,0,0
Morocco,2,0,17.5,5.56
Mozambique,2,0,0,8.33
Myanmar,4,0,0,2.78
Namibia,4,0,0,2.78
Nepal,1,0,0,22.22
Netherlands,4,0,0,1.85
New Zealand,1,0.009,0,19.44
Nicaragua,2,0,0,8.33
Niger,4,0,0,0
Nigeria,2,0,0,11.11
North Macedonia,4,0,0,0
Norway,2,0.058,18.2,11.11
Oman,1,0,0,19.44
Pakistan,1,0,0,28.7
Palestine,5,0,0,74.07
Panama,2,0,0,8.33
Papua New Guinea,1,0,0,13.89
Paraguay,2,0,0,5.56
Peru,1,0.002,0,13.89
Philippines,1,0,0,25
Poland,2,0,0,11.11
Portugal,2,0.008,0,11.11
Qatar,1,0,0,13.89
Romania,1,0,0,16.67
Russia,1,0.029,0,22.22
Rwanda,1,0,0,13.89
Saint Kitts and Nevis,4,0,0,0
Saint Lucia,4,0,0,0
Saint Vincent and the Grenadines,4,0,0,0
Samoa,4,0,0,0
San Marino,1,0,0,33.33
Sao Tome and Principe,4,0,0,0
Saudi Arabia,2,0.057,0,11.11
Senegal,4,0,3.5,0
Serbia,3,0.004,55.9,13.89
Seychelles,1,0,0,16.67
Sierra Leone,4,0,0,0
Singapore,1,0,0,25
Slovakia,1,0.012,0,16.67
Slovenia,1,0,0,16.67
Solomon Islands,2,0,0,8.33
Somalia,4,0,0,0
South Africa,3,0.001,97.9,13.89
South Korea,5,0.262,23.8,55.56
South Sudan,2,0,0,5.56
Spain,2,0,0,11.11
Sri Lanka,2,0,0,11.11
Sudan,2,0,0,5.56
Suriname,4,0,0,0
Sweden,4,0,0,0
Switzerland,1,0.084,17.7,25
Syria,4,0,0,2.78
Taiwan,0,0.013,500.6,28.7
Tajikistan,1,0,0,13.89
Tanzania,4,0,0,2.78
Thailand,0,0.01,587.9,16.67
Timor,2,0,0,11.11
Togo,4,0,0,0
Trinidad and Tobago,1,0,0,16.67
Tunisia,1,0,0,13.89
Turkey,1,0,0,19.44
Uganda,1,0,0,16.67
Ukraine,2,0,0,11.11
United Arab Emirates,0,0.453,1230.7,15.74
United Kingdom,2,0,0,11.11
United States,1,0.005,8.5,20.37
Uruguay,4,0,0,0
Uzbekistan,1,0,0,16.67
Vanuatu,4,0,0,0
Vatican,4,0,0,0
Venezuela,2,0,0,11.11
Vietnam,3,0.001,248.3,47.22
Yemen,4,0,0,0
Zambia,1,0,0,16.67
Zimbabwe,2,0,0,8.33
